Price,Area,Location,BHK,Resale,SwimmingPool,LandscapedGardens,ClubHouse,CarParking,LiftAvailable,price_per_sq_ft
9800000,600,Dombivali,1,False,True,True,True,True,True,16333.333333333334
9800000,600,Dombivali,1,False,True,True,True,True,True,16333.333333333334
4498000,408,Dombivali,1,False,True,True,True,True,True,11024.509803921568
8294000,454,Dombivali,1,False,True,True,True,True,True,18268.722466960353
4000000,350,Dombivali,1,True,True,True,True,True,True,11428.57142857143
4200000,650,Dombivali,1,False,True,True,True,True,True,6461.538461538462
6450000,600,Dombivali,1,False,True,True,True,True,True,10750.0
6700000,510,Dombivali,1,False,True,True,True,True,True,13137.254901960785
6700000,510,Dombivali,1,False,True,True,True,True,True,13137.254901960785
14000000,670,Dombivali,1,False,True,True,True,True,True,20895.5223880597
4498000,408,Dombivali,1,False,True,True,True,True,True,11024.509803921568
8294000,454,Dombivali,1,False,True,True,True,True,True,18268.722466960353
5555000,666,Dombivali,1,False,True,True,True,True,True,8340.840840840841
18000000,1120,Dombivali,3,True,True,True,True,True,True,16071.42857142857
6862000,774,Dombivali,1,False,True,True,True,True,True,8865.6330749354
18500000,1197,Dombivali,3,False,True,True,True,True,True,15455.304928989139
8500000,665,Dombivali,1,False,True,True,True,True,True,12781.954887218046
6800000,665,Dombivali,1,False,True,True,True,True,True,10225.563909774437
13000000,700,Dombivali,1,False,True,True,True,True,True,18571.428571428572
3800000,555,Dombivali East,1,True,False,False,False,True,True,6846.846846846847
3600000,600,Dombivali East,1,True,False,True,False,True,True,6000.0
3700000,550,Dombivali East,1,True,False,False,False,True,True,6727.272727272727
3000000,600,Dombivali East,1,True,False,False,False,True,True,5000.0
7600000,950,Dombivali East,3,True,False,False,False,True,True,8000.0
3800000,555,Dombivali East,1,True,False,False,False,True,True,6846.846846846847
3600000,600,Dombivali East,1,True,False,True,False,True,True,6000.0
3700000,550,Dombivali East,1,True,False,False,False,True,True,6727.272727272727
3000000,600,Dombivali East,1,True,False,False,False,True,True,5000.0
7600000,950,Dombivali East,3,True,False,False,False,True,True,8000.0
3467000,530,Dombivali East,1,False,False,False,False,True,True,6541.509433962264
13000000,675,Dombivali East,1,False,True,True,True,True,True,19259.25925925926
2100000,445,Dombivali East,1,False,True,True,True,True,True,4719.101123595506
7100000,686,Dombivali East,2,True,True,True,True,True,True,10349.854227405247
8020000,700,Dombivali East,2,False,True,True,True,True,True,11457.142857142857
2500000,600,Dombivali East,1,False,True,True,True,True,True,4166.666666666667
8500000,560,Dombivali East,1,False,True,True,True,True,True,15178.57142857143
8359999,530,Dombivali East,1,False,True,True,True,True,True,15773.583018867925
3599000,690,Dombivali East,1,True,True,True,True,True,True,5215.942028985507
10700000,955,Dombivali East,2,False,True,True,True,True,True,11204.188481675392
9000000,518,Dombivali East,1,True,True,True,True,True,True,17374.517374517374
2300000,480,Dombivli (West),1,False,False,True,False,False,False,4791.666666666667
7150000,540,Dombivli (West),1,True,True,True,True,True,True,13240.74074074074
11500000,645,Dombivli (West),1,True,True,True,True,True,True,17829.457364341084
16500000,1050,Dombivli (West),2,True,True,True,True,True,True,15714.285714285714
14000000,725,Dombivli (West),1,True,True,True,True,True,True,19310.344827586207
5850000,375,Dombivli (West),1,False,True,True,True,True,True,15600.0
9500000,700,Dombivli (West),1,True,True,True,True,True,True,13571.42857142857
8800000,785,Dombivli (West),1,True,True,True,True,True,True,11210.191082802548
12000000,525,Dombivli (West),1,True,True,True,True,True,True,22857.14285714286
5999000,600,Dombivli (West),1,False,True,True,True,True,True,9998.333333333334
4801000,450,Dombivli (West),1,True,True,True,True,True,True,10668.888888888889
3500000,690,Dronagiri,1,False,False,True,False,True,True,5072.463768115942
3400000,704,Dronagiri,1,False,False,True,False,True,True,4829.545454545455
3500000,688,Dronagiri,1,False,False,True,False,True,True,5087.209302325581
2400000,625,Dronagiri,1,False,False,True,False,True,True,3840.0
3500000,690,Dronagiri,1,False,False,True,False,True,True,5072.463768115942
3400000,704,Dronagiri,1,False,False,True,False,True,True,4829.545454545455
3500000,688,Dronagiri,1,False,False,True,False,True,True,5087.209302325581
2400000,625,Dronagiri,1,False,False,True,False,True,True,3840.0
3000000,650,Dronagiri,1,False,False,True,False,True,True,4615.384615384615
3650000,665,Dronagiri,1,False,False,False,False,True,True,5488.721804511279
4200000,690,Dronagiri,1,False,False,True,False,True,True,6086.95652173913
3001000,675,Dronagiri,1,False,False,True,True,True,True,4445.925925925926
3000000,650,Dronagiri,1,False,False,True,False,True,True,4615.384615384615
3650000,665,Dronagiri,1,False,False,False,False,True,True,5488.721804511279
4200000,690,Dronagiri,1,False,False,True,False,True,True,6086.95652173913
3001000,675,Dronagiri,1,False,False,True,True,True,True,4445.925925925926
4400000,645,Dronagiri,1,False,True,True,True,True,True,6821.705426356589
3400000,880,Dronagiri,1,False,True,True,True,True,True,3863.6363636363635
4600000,600,Dronagiri,1,False,True,True,True,True,True,7666.666666666667
11500000,1000,Dronagiri,2,False,True,True,True,True,True,11500.0
6000000,660,Dronagiri,1,False,True,True,True,True,True,9090.90909090909
17000000,1050,Dronagiri,2,False,True,True,True,True,True,16190.47619047619
7450000,660,Dronagiri,1,False,True,True,True,True,True,11287.878787878788
3000000,735,Dronagiri,1,False,True,True,True,True,True,4081.6326530612246
3000000,665,Dronagiri,1,False,True,True,True,True,True,4511.278195488721
13000000,1175,Dronagiri,2,False,True,True,True,True,True,11063.829787234043
7481000,640,Dronagiri,1,False,True,True,True,True,True,11689.0625
4250000,555,Dronagiri,1,False,True,True,True,True,True,7657.657657657658
6000000,400,Ghansoli,1,True,True,True,True,True,True,15000.0
6000000,660,Ghansoli,1,False,True,True,True,True,True,9090.90909090909
19200000,1365,Ghansoli,3,True,True,True,True,True,True,14065.934065934065
29000000,1140,Ghansoli,2,True,True,True,True,True,True,25438.59649122807
16000000,1400,Ghansoli,2,True,True,True,True,True,True,11428.57142857143
12000000,1145,Ghansoli,2,True,True,True,True,True,True,10480.349344978165
12500000,925,Ghansoli,2,True,True,True,True,True,True,13513.513513513513
13000000,1145,Ghansoli,2,True,True,True,True,True,True,11353.711790393014
8900000,1050,Ghansoli,2,True,True,True,True,True,True,8476.190476190477
16500000,695,Ghansoli,1,True,True,True,True,True,True,23741.007194244605
11000000,1100,Ghansoli,2,True,True,True,True,True,True,10000.0
9800000,905,Ghansoli,2,True,True,True,True,True,True,10828.729281767955
15500000,1200,Ghansoli,2,True,True,True,True,True,True,12916.666666666666
9000000,1205,Ghansoli,2,False,True,True,True,True,True,7468.879668049793
14000000,1200,Ghansoli,2,True,True,True,True,True,True,11666.666666666666
19000000,900,Ghansoli,2,True,True,True,True,True,True,21111.11111111111
18500000,1200,Ghansoli,2,True,True,True,True,True,True,15416.666666666666
9300000,1240,Ghansoli,2,True,True,True,True,True,True,7500.0
10600000,660,Ghansoli,1,False,True,True,True,True,True,16060.60606060606
17500000,1188,Ghatkopar West,2,True,True,True,True,True,True,14730.63973063973
13000000,850,Ghatkopar West,2,True,True,True,True,True,True,15294.117647058823
16000000,1050,Ghatkopar West,2,True,True,True,True,True,True,15238.095238095239
16800000,1053,Ghatkopar West,2,True,True,True,True,True,True,15954.415954415954
16500000,1054,Ghatkopar West,2,True,True,True,True,True,True,15654.648956356736
16399999,1054,Ghatkopar West,2,True,True,True,True,True,True,15559.771347248578
16500000,1050,Ghatkopar West,2,True,True,True,True,True,True,15714.285714285714
11900000,700,Ghatkopar West,2,False,True,True,True,True,True,17000.0
10200000,644,Ghatkopar West,1,True,True,True,True,True,True,15838.509316770187
7300000,644,Ghatkopar West,1,True,True,True,True,True,True,11335.403726708075
7500000,450,Ghatkopar West,1,True,True,True,True,True,True,16666.666666666668
7600000,500,Ghatkopar West,1,True,True,True,True,True,True,15200.0
7700000,500,Ghatkopar West,1,True,True,True,True,True,True,15400.0
9500000,500,Ghatkopar West,1,True,True,True,True,True,True,19000.0
8000000,750,Ghatkopar West,1,True,True,True,True,True,True,10666.666666666666
7600000,750,Ghatkopar West,1,True,True,True,True,True,True,10133.333333333334
8900000,500,Ghatkopar West,1,True,True,True,True,True,True,17800.0
22400000,996,Ghatkopar West,2,False,True,True,True,True,True,22489.95983935743
8200000,605,Ghatkopar West,1,True,True,True,True,True,True,13553.719008264463
27000000,1238,Ghatkopar West,2,False,True,True,True,True,True,21809.369951534733
27000000,1695,Goregaon,3,False,True,False,True,True,True,15929.20353982301
21600000,1579,Goregaon,3,False,True,True,True,True,True,13679.544015199494
30500000,1717,Goregaon,3,False,True,True,True,True,True,17763.54105998835
12600000,1012,Goregaon,2,False,True,True,True,True,True,12450.592885375494
